feature,importance_score
gamma_gtp,0.2644672494537875
sgot_alt,0.2118028593881221
sbp,0.21035070145598553
blds,0.11728926823557648
dbp,0.09737914560874696
sgot_ast,0.08129056014305508
waistline,0.00956652767640294
triglyceride,0.0029279721977719
bmi,0.0023412078488848076
age,0.0014846168953726723
sex_num,8.944407587536539E-4
smk_stat_type_cd_index,1.5162073049543776E-4
drk_yn_num,5.382960704496952E-5
