feature,importance_score
blds,33.6099221563064
drk_yn_num,3.3723100600781746
smk_stat_type_cd_vec,3.100607605622637
urine_protein,0.8370196890968948
sex_num,0.7457542067303852
hemoglobin,0.5216440399162494
bmi,0.2842863114918727
waistline,0.12499709672096782
dbp,0.0631788150738275
hdl_chole,0.05397988136361731
sbp,0.03574436538899729
age,0.005670217437001398
triglyceride,0.0032270577096504918
gamma_gtp,0.002254708544519962
